No,Transaction_Date,House_Age,Distance_to_MRT,Num_Convenience_Stores,Latitude,Longitude,House_Price
1,734838,32.0,84.87882,10,24.98298,121.54024,37.9
2,734838,19.5,306.5947,9,24.98034,121.53951,42.2
3,735079,13.3,561.9845,5,24.98746,121.54391,47.3
4,735050,13.3,561.9845,5,24.98746,121.54391,54.8
5,734806,5.0,390.5684,5,24.97937,121.54245,43.1
6,734747,7.1,2175.03,3,24.96305,121.51254,32.1
7,734747,34.5,623.4731,7,24.97933,121.53642,40.3
8,735020,20.3,287.6025,6,24.98042,121.54228,46.7
9,735050,31.7,5512.038,1,24.95095,121.48458,18.8
10,735020,17.9,1783.18,3,24.96731,121.51486,22.1
11,734898,34.8,405.2134,1,24.97349,121.53372,41.4
12,734988,6.3,90.45606,9,24.97433,121.5431,58.1
13,734838,13.0,492.2313,5,24.96515,121.53737,39.3
14,734747,20.4,2469.645,4,24.96108,121.51046,23.8
15,735050,13.2,1164.838,4,24.99156,121.53406,34.3
16,735079,35.7,579.2083,2,24.9824,121.54619,50.5
17,734959,0.0,292.9978,6,24.97744,121.54458,70.1
18,734777,17.7,350.8515,1,24.97544,121.53119,37.4
19,735020,16.9,368.1363,8,24.9675,121.54451,42.3
20,734747,1.5,23.38284,7,24.96772,121.54102,47.7
21,735020,4.5,2275.877,3,24.96314,121.51151,29.3
22,735020,10.5,279.1726,7,24.97528,121.54541,51.6
23,734838,14.7,1360.139,1,24.95204,121.54842,24.6
24,734898,10.1,279.1726,7,24.97528,121.54541,47.9
25,734869,39.6,480.6977,4,24.97353,121.53885,38.8
26,734898,29.3,1487.868,2,24.97542,121.51726,27.0
27,734747,3.1,383.8624,5,24.98085,121.54391,56.2
28,734959,10.4,276.449,5,24.95593,121.53913,33.6
29,735050,19.2,557.478,4,24.97419,121.53797,47.0
30,734898,7.1,451.2438,5,24.97563,121.54694,57.1
31,735050,25.9,4519.69,0,24.94826,121.49587,22.1
32,734777,29.6,769.4034,7,24.98281,121.53408,25.0
33,734777,37.9,488.5727,1,24.97349,121.53451,34.2
34,734959,16.5,323.655,6,24.97841,121.54281,49.3
35,734777,15.4,205.367,7,24.98419,121.54243,55.1
36,735050,13.9,4079.418,0,25.01459,121.51816,27.3
37,734838,14.7,1935.009,2,24.96386,121.51458,22.9
38,734928,12.0,1360.139,1,24.95204,121.54842,25.3
39,734747,3.1,577.9615,6,24.97201,121.54722,47.7
40,734928,16.2,289.3248,5,24.98203,121.54348,46.2
41,734869,13.6,4082.015,0,24.94155,121.50381,15.9
42,735050,16.8,4066.587,0,24.94297,121.50342,18.2
43,735020,36.1,519.4617,5,24.96305,121.53758,34.7
44,734777,34.4,512.7871,6,24.98748,121.54301,34.1
45,735079,2.7,533.4762,4,24.97445,121.54765,53.9
46,734898,36.6,488.8193,8,24.97015,121.54494,38.3
47,735020,21.7,463.9623,9,24.9703,121.54458,42.0
48,735079,35.9,640.7391,3,24.97563,121.53715,61.5
49,735020,24.2,4605.749,0,24.94684,121.49578,13.4
50,734747,29.4,4510.359,1,24.94925,121.49542,13.2
51,735020,21.7,512.5487,4,24.974,121.53842,44.2
52,734898,31.3,1758.406,1,24.95402,121.55282,20.7
53,735079,32.1,1438.579,3,24.97419,121.5175,27.0
54,734898,13.3,492.2313,5,24.96515,121.53737,38.9
55,734898,16.1,289.3248,5,24.98203,121.54348,51.7
56,734806,31.7,1160.632,0,24.94968,121.53009,13.7
57,735020,33.6,371.2495,8,24.97254,121.54059,41.9
58,734838,3.5,56.47425,7,24.95744,121.53711,53.5
59,735050,30.3,4510.359,1,24.94925,121.49542,22.6
60,734898,13.3,336.0532,5,24.95776,121.53438,42.4
61,735020,11.0,1931.207,2,24.96365,121.51471,21.3
62,735050,5.3,259.6607,6,24.97585,121.54516,63.2
63,734838,17.2,2175.877,3,24.96303,121.51254,27.7
64,735079,2.6,533.4762,4,24.97445,121.54765,55.0
65,734988,17.5,995.7554,0,24.96305,121.54915,25.3
66,735020,40.1,123.7429,8,24.97635,121.54329,44.3
67,734869,1.0,193.5845,6,24.96571,121.54089,50.7
68,735050,8.5,104.8101,5,24.96674,121.54067,56.8
69,735020,30.4,464.223,6,24.97964,121.53805,36.2
70,734806,12.5,561.9845,5,24.98746,121.54391,42.0
71,735079,6.6,90.45606,9,24.97433,121.5431,59.0
72,734898,35.5,640.7391,3,24.97563,121.53715,40.8
73,735079,32.5,424.5442,8,24.97587,121.53913,36.3
74,734928,13.8,4082.015,0,24.94155,121.50381,20.0
75,734838,6.8,379.5575,10,24.98343,121.53762,54.4
76,735050,12.3,1360.139,1,24.95204,121.54842,29.5
77,735079,35.9,616.4004,3,24.97723,121.53767,36.8
78,734806,20.5,2185.128,3,24.96322,121.51237,25.6
79,734838,38.2,552.4371,2,24.97598,121.53381,29.8
80,734869,18.0,1414.837,1,24.95182,121.54887,26.5
81,735050,11.8,533.4762,4,24.97445,121.54765,40.3
82,734869,30.8,377.7956,6,24.96427,121.53964,36.8
83,734898,13.2,150.9347,7,24.96725,121.54252,48.1
84,734838,25.3,2707.392,3,24.96056,121.50831,17.7
85,734898,15.1,383.2805,7,24.96735,121.54464,43.7
86,734777,0.0,338.9679,9,24.96853,121.54413,50.8
87,734806,1.8,1455.798,1,24.9512,121.549,27.0
88,735079,16.9,4066.587,0,24.94297,121.50342,18.3
89,734838,8.9,1406.43,0,24.98573,121.52758,48.0
90,735050,23.0,3947.945,0,24.94783,121.50243,25.3
91,734806,0.0,274.0144,1,24.9748,121.53059,45.4
92,734959,9.1,1402.016,0,24.98569,121.5276,43.2
93,734838,20.6,2469.645,4,24.96108,121.51046,21.8
94,734838,31.9,1146.329,0,24.9492,121.53076,16.1
95,734838,40.9,167.5989,5,24.9663,121.54026,41.0
96,734838,8.0,104.8101,5,24.96674,121.54067,51.8
97,735020,6.4,90.45606,9,24.97433,121.5431,59.5
98,734898,28.4,617.4424,3,24.97746,121.53299,34.6
99,735020,16.4,289.3248,5,24.98203,121.54348,51.0
100,735020,6.4,90.45606,9,24.97433,121.5431,62.2
101,735050,17.5,964.7496,4,24.98872,121.53411,38.2
102,734806,12.7,170.1289,1,24.97371,121.52984,32.9
103,734898,1.1,193.5845,6,24.96571,121.54089,54.4
104,734777,0.0,208.3905,6,24.95618,121.53844,45.7
105,734747,32.7,392.4459,6,24.96398,121.5425,30.5
106,734806,0.0,292.9978,6,24.97744,121.54458,71.0
107,734898,17.2,189.5181,8,24.97707,121.54308,47.1
108,734988,12.2,1360.139,1,24.95204,121.54842,26.6
109,735020,31.4,592.5006,2,24.9726,121.53561,34.1
110,735079,4.0,2147.376,3,24.96299,121.51284,28.4
111,734898,8.1,104.8101,5,24.96674,121.54067,51.6
112,735079,33.3,196.6172,7,24.97701,121.54224,39.4
113,735020,9.9,2102.427,3,24.96044,121.51462,23.1
114,734988,14.8,393.2606,6,24.96172,121.53812,7.6
115,734747,30.6,143.8383,8,24.98155,121.54142,53.3
116,734898,20.6,737.9161,2,24.98092,121.54739,46.4
117,734869,30.9,6396.283,1,24.94375,121.47883,12.2
118,734869,13.6,4197.349,0,24.93885,121.50383,13.0
119,735050,25.3,1583.722,3,24.96622,121.51709,30.6
120,735050,16.6,289.3248,5,24.98203,121.54348,59.6
121,734928,13.3,492.2313,5,24.96515,121.53737,31.3
122,735050,13.6,492.2313,5,24.96515,121.53737,48.0
123,734959,31.5,414.9476,4,24.98199,121.54464,32.5
124,735020,0.0,185.4296,0,24.9711,121.5317,45.5
125,734838,9.9,279.1726,7,24.97528,121.54541,57.4
126,734928,1.1,193.5845,6,24.96571,121.54089,48.6
127,734898,38.6,804.6897,4,24.97838,121.53477,62.9
128,734959,3.8,383.8624,5,24.98085,121.54391,55.0
129,734898,41.3,124.9912,6,24.96674,121.54039,60.7
130,735020,38.5,216.8329,7,24.98086,121.54162,41.0
131,734959,29.6,535.527,8,24.98092,121.53653,37.5
132,735050,4.0,2147.376,3,24.96299,121.51284,30.7
133,734928,26.6,482.7581,5,24.97433,121.53863,37.5
134,734806,18.0,373.3937,8,24.9866,121.54082,39.5
135,734747,33.4,186.9686,6,24.96604,121.54211,42.2
136,734838,18.9,1009.235,0,24.96357,121.54951,20.8
137,734777,11.4,390.5684,5,24.97937,121.54245,46.8
138,735050,13.6,319.0708,6,24.96495,121.54277,47.4
139,734928,10.0,942.4664,0,24.97843,121.52406,43.5
140,734747,12.9,492.2313,5,24.96515,121.53737,42.5
141,734959,16.2,289.3248,5,24.98203,121.54348,51.4
142,734988,5.1,1559.827,3,24.97213,121.51627,28.9
143,735020,19.8,640.6071,5,24.97017,121.54647,37.5
144,735050,13.6,492.2313,5,24.96515,121.53737,40.1
145,734898,11.9,1360.139,1,24.95204,121.54842,28.4
146,734838,2.1,451.2438,5,24.97563,121.54694,45.5
147,734777,0.0,185.4296,0,24.9711,121.5317,52.2
148,734777,3.2,489.8821,8,24.97017,121.54494,43.2
149,735050,16.4,3780.59,0,24.93293,121.51203,45.1
150,734747,34.9,179.4538,8,24.97349,121.54245,39.7
151,734959,35.8,170.7311,7,24.96719,121.54269,48.5
152,735050,4.9,387.7721,9,24.98118,121.53788,44.7
153,734988,12.0,1360.139,1,24.95204,121.54842,28.9
154,734959,6.5,376.1709,6,24.95418,121.53713,40.9
155,735050,16.9,4066.587,0,24.94297,121.50342,20.7
156,734928,13.8,4082.015,0,24.94155,121.50381,15.6
157,735079,30.7,1264.73,0,24.94883,121.52954,18.3
158,734959,16.1,815.9314,4,24.97886,121.53464,35.6
159,734869,11.6,390.5684,5,24.97937,121.54245,39.4
160,734747,15.5,815.9314,4,24.97886,121.53464,37.4
161,734838,3.5,49.66105,8,24.95836,121.53756,57.8
162,735020,19.2,616.4004,3,24.97723,121.53767,39.6
163,734777,16.0,4066.587,0,24.94297,121.50342,11.6
164,735050,8.5,104.8101,5,24.96674,121.54067,55.5
165,734806,0.0,185.4296,0,24.9711,121.5317,55.2
166,734838,13.7,1236.564,1,24.97694,121.55391,30.6
167,735020,0.0,292.9978,6,24.97744,121.54458,73.6
168,735020,28.2,330.0854,8,24.97408,121.54011,43.4
169,734898,27.6,515.1122,5,24.96299,121.5432,37.4
170,735020,8.4,1962.628,1,24.95468,121.55481,23.5
171,734988,24.0,4527.687,0,24.94741,121.49628,14.4
172,734898,3.6,383.8624,5,24.98085,121.54391,58.8
173,735079,6.6,90.45606,9,24.97433,121.5431,58.1
174,734898,41.3,401.8807,4,24.98326,121.5446,35.1
175,735020,4.3,432.0385,7,24.9805,121.53778,45.2
176,734898,30.2,472.1745,3,24.97005,121.53758,36.5
177,734806,13.9,4573.779,0,24.94867,121.49507,19.2
178,734898,33.0,181.0766,9,24.97697,121.54262,42.0
179,735050,13.1,1144.436,4,24.99176,121.53456,36.7
180,734898,14.0,438.8513,1,24.97493,121.5273,42.6
181,734747,26.9,4449.27,0,24.94898,121.49621,15.5
182,734928,11.6,201.8939,8,24.98489,121.54121,55.9
183,735050,13.5,2147.376,3,24.96299,121.51284,23.6
184,735050,17.0,4082.015,0,24.94155,121.50381,18.8
185,734777,14.1,2615.465,0,24.95495,121.56174,21.8
186,734777,31.4,1447.286,3,24.97285,121.5173,21.5
187,734928,20.9,2185.128,3,24.96322,121.51237,25.7
188,734869,8.9,3078.176,0,24.95464,121.56627,22.0
189,734838,34.8,190.0392,8,24.97707,121.54312,44.3
190,734838,16.3,4066.587,0,24.94297,121.50342,20.5
191,735050,35.3,616.5735,8,24.97945,121.53642,42.3
192,734928,13.2,750.0704,2,24.97371,121.54951,37.8
193,734928,43.8,57.58945,7,24.9675,121.54069,42.7
194,735020,9.7,421.479,5,24.98246,121.54477,49.3
195,735050,15.2,3771.895,0,24.93363,121.51158,29.3
196,734988,15.2,461.1016,5,24.95425,121.5399,34.6
197,734869,22.8,707.9067,2,24.981,121.54713,36.6
198,734959,34.4,126.7286,8,24.96881,121.54089,48.2
199,734898,34.0,157.6052,7,24.96628,121.54196,39.1
200,735020,18.2,451.6419,8,24.96945,121.5449,31.6
201,735020,17.4,995.7554,0,24.96305,121.54915,25.5
202,735020,13.1,561.9845,5,24.98746,121.54391,45.9
203,734838,38.3,642.6985,3,24.97559,121.53713,31.5
204,734747,15.6,289.3248,5,24.98203,121.54348,46.1
205,734869,18.0,1414.837,1,24.95182,121.54887,26.6
206,734898,12.8,1449.722,3,24.97289,121.51728,21.4
207,734959,22.2,379.5575,10,24.98343,121.53762,44.0
208,734898,38.5,665.0636,3,24.97503,121.53692,34.2
209,734777,11.5,1360.139,1,24.95204,121.54842,26.2
210,734806,34.8,175.6294,8,24.97347,121.54271,40.9
211,735050,5.2,390.5684,5,24.97937,121.54245,52.2
212,734898,0.0,274.0144,1,24.9748,121.53059,43.5
213,734988,17.6,1805.665,2,24.98672,121.52091,31.1
214,734898,6.2,90.45606,9,24.97433,121.5431,58.0
215,735079,18.1,1783.18,3,24.96731,121.51486,20.9
216,734988,19.2,383.7129,8,24.972,121.54477,48.1
217,734959,37.8,590.9292,1,24.97153,121.53559,39.7
218,734838,28.0,372.6242,6,24.97838,121.54119,40.8
219,735020,13.6,492.2313,5,24.96515,121.53737,43.8
220,734777,29.3,529.7771,8,24.98102,121.53655,40.2
221,734988,37.2,186.5101,9,24.97703,121.54265,78.3
222,734988,9.0,1402.016,0,24.98569,121.5276,38.5
223,735079,30.6,431.1114,10,24.98123,121.53743,48.5
224,734959,9.1,1402.016,0,24.98569,121.5276,42.3
225,734988,34.5,324.9419,6,24.97814,121.5417,46.0
226,734959,1.1,193.5845,6,24.96571,121.54089,49.0
227,734869,16.5,4082.015,0,24.94155,121.50381,12.8
228,734838,32.4,265.0609,8,24.98059,121.53986,40.2
229,735020,11.9,3171.329,0,25.00115,121.51776,46.6
230,735079,31.0,1156.412,0,24.9489,121.53095,19.0
231,735050,4.0,2147.376,3,24.96299,121.51284,33.4
